instances;name;agentes;status_1;vars_makespan_1;clauses_makespan_1;cost_makespan_1;time_makespan_1;vars_soc_1;clauses_soc_1;cost_soc_1;time_soc_1;status_2;vars_makespan_2;clauses_makespan_2;cost_makespan_2;time_makespan_2;vars_soc_2;clauses_soc_2;cost_soc_2;time_soc_2;status_3;vars_makespan_3;clauses_makespan_3;cost_makespan_3;time_makespan_3;vars_soc_3;clauses_soc_3;cost_soc_3;time_soc_3;status_4;vars_makespan_4;clauses_makespan_4;cost_makespan_4;time_makespan_4;vars_soc_4;clauses_soc_4;cost_soc_4;time_soc_4;status_5;vars_makespan_5;clauses_makespan_5;cost_makespan_5;time_makespan_5;vars_soc_5;clauses_soc_5;cost_soc_5;time_soc_5;status_6;vars_makespan_6;clauses_makespan_6;cost_makespan_6;time_makespan_6;vars_soc_6;clauses_soc_6;cost_soc_6;time_soc_6;status_7;vars_makespan_7;clauses_makespan_7;cost_makespan_7;time_makespan_7;vars_soc_7;clauses_soc_7;cost_soc_7;time_soc_7;status_8;vars_makespan_8;clauses_makespan_8;cost_makespan_8;time_makespan_8;vars_soc_8;clauses_soc_8;cost_soc_8;time_soc_8;status_9;vars_makespan_9;clauses_makespan_9;cost_makespan_9;time_makespan_9;vars_soc_9;clauses_soc_9;cost_soc_9;time_soc_9;status_10;vars_makespan_10;clauses_makespan_10;cost_makespan_10;time_makespan_10;vars_soc_10;clauses_soc_10;cost_soc_10;time_soc_10;status_11;vars_makespan_11;clauses_makespan_11;cost_makespan_11;time_makespan_11;vars_soc_11;clauses_soc_11;cost_soc_11;time_soc_11;status_12;vars_makespan_12;clauses_makespan_12;cost_makespan_12;time_makespan_12;vars_soc_12;clauses_soc_12;cost_soc_12;time_soc_12;status_13;vars_makespan_13;clauses_makespan_13;cost_makespan_13;time_makespan_13;vars_soc_13;clauses_soc_13;cost_soc_13;time_soc_13
0;Instance-20-10-20-0;20;0;87009;684022;268;0.49;93359;764708;268;0.61;0;118205;645796;268;0.6;128959;713832;268;0.74;0;195883;799898;268;0.85;219168;897940;268;1.1;0;216578;756604;268;0.66;240666;838876;268;0.83;0;151715;686308;268;0.55;166767;759063;268;0.7;0;104975;678121;268;0.61;112990;751909;268;0.76;0;151715;686308;268;0.65;166767;759063;268;0.8;0;151715;686308;268;0.54;166767;759063;268;0.67;0;151715;686308;268;0.69;166767;759063;268;0.86;0;151715;686308;268;0.57;166767;759063;268;0.74;0;104975;678121;268;0.57;112990;751909;268;0.69;0;108271;888926;268;22.79;116502;991578;268;35.26;0;108271;970248;268;0.61;116502;1082388;268;0.77
1;Instance-20-10-20-3;20;0;100292;840309;244;0.65;120708;1116638;244;0.86;0;140421;788432;244;0.77;175345;1012306;244;0.98;0;240403;988363;244;1.07;319563;1324567;244;1.46;0;264294;926438;244;0.81;342868;1196158;244;1.08;0;182282;838236;244;0.75;231592;1077627;244;0.98;0;122033;829861;244;0.79;147387;1075856;244;1.03;0;182282;838236;244;0.76;231592;1077627;244;1;0;182282;838236;244;0.75;231592;1077627;244;0.98;0;182282;838236;244;0.8;231592;1077627;244;1.02;0;182282;838236;244;0.7;231592;1077627;244;0.98;0;122033;829861;244;0.71;147387;1075856;244;0.9;0;125730;1098491;244;32.92;151655;1442222;244;37.11;0;125730;1199283;244;0.83;151655;1574150;244;1.04
2;Instance-20-10-20-7;20;0;90428;718340;324;0.3;90428;718340;324;0.3;0;123133;676152;324;0.42;123133;676152;324;0.42;0;204775;839882;324;0.49;204775;839882;324;0.49;0;225397;791016;324;0.4;225397;791016;324;0.4;0;158072;718286;324;0.33;158072;718286;324;0.33;0;108958;709762;324;0.38;108958;709762;324;0.38;0;158072;718286;324;0.45;158072;718286;324;0.45;0;158072;718286;324;0.35;158072;718286;324;0.35;0;158072;718286;324;0.47;158072;718286;324;0.47;0;158072;718286;324;0.35;158072;718286;324;0.35;0;108958;709762;324;0.33;108958;709762;324;0.33;0;112426;931550;324;41.7;112426;931550;324;41.7;0;112426;1016492;324;0.38;112426;1016492;324;0.38
3;Instance-20-10-22-0;22;0;111741;1028389;330;0.43;111741;1028389;330;0.43;0;161103;919307;330;0.61;161103;919307;330;0.61;0;294421;1219526;330;0.78;294421;1219526;330;0.78;0;314598;1088327;330;0.62;314598;1088327;330;0.62;0;212533;979194;330;0.46;212533;979194;330;0.46;0;135881;980029;330;0.53;135881;980029;330;0.53;0;212533;979194;330;0.49;212533;979194;330;0.49;0;212533;979194;330;0.46;212533;979194;330;0.46;0;212533;979194;330;0.51;212533;979194;330;0.51;0;212533;979194;330;0.47;212533;979194;330;0.47;0;135881;980029;330;0.44;135881;980029;330;0.44;2;140137;1306634;-1;600;-1;-1;704;600;0;140137;1427008;330;0.54;140137;1427008;330;0.54
4;Instance-20-10-22-3;22;0;64310;431115;284;0.74;188164;2234374;270;1.15;0;81869;425682;284;0.83;295911;1808109;270;1.23;0;121492;493612;284;1.17;626050;2684200;270;1.93;0;137923;490672;284;0.96;625931;2160655;270;1.51;0;101630;450758;284;0.75;405522;1929660;270;1.19;0;76413;439979;284;0.84;229370;1983399;270;1.31;0;101630;450758;284;0.81;405522;1929660;270;1.53;0;101630;450758;284;0.73;405522;1929660;270;1.64;0;101630;450758;284;0.75;405522;1929660;270;1.19;0;101630;450758;284;0.69;405522;1929660;270;1.13;0;76413;439979;284;0.72;229370;1983399;270;1.83;0;79152;561778;284;12.66;235497;2723030;270;68.73;0;79152;613082;284;0.84;235497;2966962;270;1.26
5;Instance-20-10-22-7;22;0;73364;523557;266;0.41;79167;592171;266;0.53;0;96195;509933;266;0.54;105863;570043;266;0.67;0;149459;605867;266;0.59;169580;689199;266;0.79;0;168543;592841;266;0.5;190009;665651;266;0.65;0;121436;541389;266;0.43;134857;605652;266;0.55;0;88154;530227;266;0.46;95573;595259;266;0.59;0;121436;541389;266;0.45;134857;605652;266;0.56;0;121436;541389;266;0.45;134857;605652;266;0.56;0;121436;541389;266;0.47;134857;605652;266;0.59;0;121436;541389;266;0.44;134857;605652;266;0.56;0;88154;530227;266;0.45;95573;595259;266;0.55;0;91276;681746;266;21.51;98895;770247;266;21.77;0;91276;744674;266;0.49;98895;841541;266;0.61
6;Instance-20-10-24-0;24;0;48806;290776;279;0.15;48806;290776;279;0.15;0;58941;289703;279;0.16;58941;289703;279;0.16;0;81875;327537;279;0.19;81875;327537;279;0.19;0;91558;327937;279;0.18;91558;327937;279;0.18;0;71202;305656;279;0.15;71202;305656;279;0.15;0;56506;297665;279;0.17;56506;297665;279;0.17;0;71202;305656;279;0.17;71202;305656;279;0.17;0;71202;305656;279;0.16;71202;305656;279;0.16;0;71202;305656;279;0.15;71202;305656;279;0.15;0;71202;305656;279;0.14;71202;305656;279;0.14;0;56506;297665;279;0.15;56506;297665;279;0.15;0;58829;366521;279;7.92;58829;366521;279;7.92;0;58829;399635;279;0.16;58829;399635;279;0.16
7;Instance-20-10-24-3;24;0;116638;1121057;330;0.89;132935;1369836;330;1.12;0;170784;991141;330;0.95;199388;1176717;330;1.18;0;319351;1332480;330;1.43;388763;1635142;330;1.91;0;338151;1174309;330;1.05;403859;1398495;330;1.35;0;226984;1056051;330;0.91;267839;1254646;330;1.14;0;142241;1059599;330;0.99;162193;1267762;330;1.23;0;226984;1056051;330;1.04;267839;1254646;330;1.31;0;226984;1056051;330;0.9;267839;1254646;330;1.17;0;226984;1056051;330;0.99;267839;1254646;330;1.25;0;226984;1056051;330;0.94;267839;1254646;330;1.26;0;142241;1059599;330;0.83;162193;1267762;330;1.06;1;146798;1413319;330;79.3;167249;1702513;330;600;0;146798;1543601;330;0.98;167249;1858917;330;1.26
8;Instance-20-10-24-7;24;0;129586;1301184;381;0.62;129586;1301184;381;0.62;0;193036;1127554;381;0.71;193036;1127554;381;0.71;0;371634;1552718;381;1.05;371634;1552718;381;1.05;0;389230;1341382;381;0.82;389230;1341382;381;0.82;0;258462;1202466;381;0.64;258462;1202466;381;0.64;0;158279;1213302;381;0.68;158279;1213302;381;0.68;0;258462;1202466;381;1.22;258462;1202466;381;1.22;0;258462;1202466;381;0.66;258462;1202466;381;0.66;0;258462;1202466;381;1.23;258462;1202466;381;1.23;0;258462;1202466;381;0.67;258462;1202466;381;0.67;0;158279;1213302;381;0.57;158279;1213302;381;0.57;2;163251;1631160;-1;600;-1;-1;815;600;0;163251;1781380;381;0.76;163251;1781380;381;0.76
9;Instance-20-10-26-0;26;0;135787;1474066;299;0.6;135787;1474066;299;0.6;0;206889;1232976;299;0.64;206889;1232976;299;0.64;0;415986;1763432;299;0.99;415986;1763432;299;0.99;0;424843;1467812;299;0.72;424843;1467812;299;0.72;0;279633;1314887;299;0.6;279633;1314887;299;0.6;0;165312;1337354;299;0.66;165312;1337354;299;0.66;0;279633;1314887;299;0.67;279633;1314887;299;0.67;0;279633;1314887;299;0.61;279633;1314887;299;0.61;0;279633;1314887;299;0.64;279633;1314887;299;0.64;0;279633;1314887;299;0.63;279633;1314887;299;0.63;0;165312;1337354;299;0.57;165312;1337354;299;0.57;3;170631;1796904;-1;600;-1;-1;-1;600;0;170631;1961522;299;0.71;170631;1961522;299;0.71
