instances;name;agentes;status_1;vars_makespan_1;clauses_makespan_1;cost_makespan_1;time_makespan_1;vars_soc_1;clauses_soc_1;cost_soc_1;time_soc_1;status_2;vars_makespan_2;clauses_makespan_2;cost_makespan_2;time_makespan_2;vars_soc_2;clauses_soc_2;cost_soc_2;time_soc_2;status_3;vars_makespan_3;clauses_makespan_3;cost_makespan_3;time_makespan_3;vars_soc_3;clauses_soc_3;cost_soc_3;time_soc_3;status_4;vars_makespan_4;clauses_makespan_4;cost_makespan_4;time_makespan_4;vars_soc_4;clauses_soc_4;cost_soc_4;time_soc_4;status_5;vars_makespan_5;clauses_makespan_5;cost_makespan_5;time_makespan_5;vars_soc_5;clauses_soc_5;cost_soc_5;time_soc_5
0;Instance-20-10-20-0_enc1;20;0;104975;678121;268;0.51;112990;751909;268;0.62;0;104975;678121;268;0.5;112990;751909;268;0.64;0;151715;686308;268;0.4;166767;759063;268;0.77;0;281373;64206;268;1.475079536;312059;71041;268;2.498715878;0;;;;;;;270;0.222
1;Instance-20-10-20-1_enc1;20;0;115331;747443;289;0.32;115331;747443;289;0.32;0;115331;747443;289;0.34;115331;747443;289;0.34;0;167035;757836;289;0.35;167035;757836;289;0.35;0;314696;73117;289;1.461291552;314696;73117;289;1.461291552;0;;;;;;;290;0.033
2;Instance-20-10-20-2_enc1;20;0;49499;233235;246;0.24;67013;362761;246;0.31;0;49499;233235;246;0.21;67013;362761;246;0.28;0;58263;240058;246;0.14;85837;372077;246;0.32;0;88548;18907;246;0.534978628;147545;33551;246;1.080864191;0;;;;;;;249;0.794
3;Instance-20-10-20-3_enc1;20;0;122033;829861;244;0.75;147387;1075856;244;0.97;0;122033;829861;244;0.67;147387;1075856;244;0.87;0;182282;838236;244;0.41;231592;1077627;244;0.99;0;344760;80128;244;1.743594408;444091;100836;244;3.472507954;0;;;;;;;245;0.311
4;Instance-20-10-20-4_enc1;20;0;61863;305233;262;0.17;61863;305233;262;0.17;0;61863;305233;262;0.14;61863;305233;262;0.14;0;74451;315728;262;0.19;74451;315728;262;0.19;0;124935;28907;262;0.579550028;124935;28907;262;0.579550028;0;;;;;;;264;0.054
5;Instance-20-10-20-5_enc1;20;0;66974;343632;275;0.19;66974;343632;275;0.19;0;66974;343632;275;0.16;66974;343632;275;0.16;0;82646;354518;275;0.18;82646;354518;275;0.18;0;141475;31827;275;0.656732559;141475;31827;275;0.656732559;0;;;;;;;275;0.011
6;Instance-20-10-20-6_enc1;20;0;59782;301675;249;0.19;59782;301675;249;0.19;0;59782;301675;249;0.14;59782;301675;249;0.14;0;72946;311029;249;0.16;72946;311029;249;0.16;0;121176;27692;249;0.582839489;121176;27692;249;0.582839489;0;;;;;;;252;0.091
7;Instance-20-10-20-7_enc1;20;0;108958;709762;324;0.38;108958;709762;324;0.38;0;108958;709762;324;0.31;108958;709762;324;0.31;0;158072;718286;324;0.39;158072;718286;324;0.39;0;293366;67259;324;1.588200808;293366;67259;324;1.588200808;0;;;;;;;329;0.907
8;Instance-20-10-20-8_enc1;20;0;83476;494192;269;0.25;83476;494192;269;0.25;0;83476;494192;269;0.21;83476;494192;269;0.21;0;113486;503576;269;0.28;113486;503576;269;0.28;0;202682;46791;269;1.024933815;202682;46791;269;1.024933815;0;;;;;;;273;0.469
9;Instance-20-10-20-9_enc1;20;0;111361;735686;295;0.39;111361;735686;295;0.39;0;111361;735686;295;0.31;111361;735686;295;0.31;0;162248;744911;295;0.36;162248;744911;295;0.36;0;303250;68957;295;1.465356827;303250;68957;295;1.465356827;0;;;;;;;295;0.013
