instances;name;obstaculos;status_1;vars_makespan_1;clauses_makespan_1;cost_makespan_1;time_makespan_1;vars_soc_1;clauses_soc_1;cost_soc_1;time_soc_1;status_2;vars_makespan_2;clauses_makespan_2;cost_makespan_2;time_makespan_2;vars_soc_2;clauses_soc_2;cost_soc_2;time_soc_2;status_3;vars_makespan_3;clauses_makespan_3;cost_makespan_3;time_makespan_3;vars_soc_3;clauses_soc_3;cost_soc_3;time_soc_3;status_4;vars_makespan_4;clauses_makespan_4;cost_makespan_4;time_makespan_4;vars_soc_4;clauses_soc_4;cost_soc_4;time_soc_4;status_5;vars_makespan_5;clauses_makespan_5;cost_makespan_5;time_makespan_5;vars_soc_5;clauses_soc_5;cost_soc_5;time_soc_5
0;Instance-20-0-20-0_enc1;0;0;82963;463761;253;0.21;82963;463761;253;0.21;0;82963;463761;253;0.21;82963;463761;253;0.21;0;105268;476271;253;0.22;105268;476271;253;0.22;0;178669;42235;253;1;178669;42235;253;1;0;;;;;;;253;0.05
1;Instance-20-0-20-1_enc1;0;0;112500;718201;293;0.29;112500;718201;293;0.29;0;112500;718201;293;0.29;112500;718201;293;0.29;0;156177;730369;293;0.33;156177;730369;293;0.33;0;281286;66756;293;1;281286;66756;293;1;0;;;;;;;296;0.731
2;Instance-20-0-20-2_enc1;0;0;143679;1024010;257;0.45;143679;1024010;257;0.45;0;143679;1024010;257;0.43;143679;1024010;257;0.43;0;215027;1030857;257;0.46;215027;1030857;257;0.46;0;400937;92917;257;1.908178806;400937;92917;257;2;0;;;;;;;259;0.965
3;Instance-20-0-20-3_enc1;0;0;108228;693915;285;0.29;108228;693915;285;0.29;0;108228;693915;285;0.29;108228;693915;285;0.29;0;150362;704035;285;0.35;150362;704035;285;0.35;0;270338;62559;285;1;270338;62559;285;1;0;;;;;;;285;0.12
4;Instance-20-0-20-4_enc1;0;0;97143;583937;264;0.25;97143;583937;264;0.25;0;97143;583937;264;0.26;97143;583937;264;0.26;0;129515;595887;264;0.25;129515;595887;264;0.25;0;226049;53545;264;1.058388948;226049;53545;264;1.058388948;0;;;;;;;265;0.066
5;Instance-20-0-20-5_enc1;0;0;99346;617487;279;0.26;99346;617487;279;0.26;0;99346;617487;279;0.26;99346;617487;279;0.26;0;135354;627271;279;0.29;135354;627271;279;0.29;0;237650;54512;279;1.163681507;237650;54512;279;1.163681507;0;;;;;;;280;0.067
6;Instance-20-0-20-6_enc1;0;0;54332;269748;172;0.11;54332;269748;172;0.11;0;54332;269748;172;0.13;54332;269748;172;0.13;0;64068;277583;172;0.13;64068;277583;172;0.13;0;98200;21933;172;0.434621334;98200;21933;172;0.434621334;0;;;;;;;172;0.01
7;Instance-20-0-20-7_enc1;0;0;105830;671572;271;0.27;105830;671572;271;0.27;0;105830;671572;271;0.27;105830;671572;271;0.27;0;146068;680885;271;0.32;146068;680885;271;0.32;0;259350;58926;271;1;259350;58926;271;1;0;;;;;;;274;0.344
8;Instance-20-0-20-8_enc1;0;0;140126;953426;366;0.41;140126;953426;366;0.41;0;140126;953426;366;0.38;140126;953426;366;0.38;0;202984;965280;366;0.44;202984;965280;366;0.44;0;376078;87455;366;2;376078;87455;366;2;0;;;;;;;367;0.106
9;Instance-20-0-20-9_enc1;0;0;121356;815458;306;0.33;121356;815458;306;0.33;0;121356;815458;306;0.34;121356;815458;306;0.34;0;174458;823513;306;0.37;174458;823513;306;0.37;0;315521;72111;306;2;315521;72111;306;2;0;;;;;;;307;0.09
10;Instance-20-10-20-0_enc1;10;0;63624;329416;266;0.3;98604;619176;266;0.39;0;63624;329416;266;0.31;98604;619176;266;0.43;0;79129;338721;266;0.35;139477;628904;266;0.46;0;133298;29288;266;1;259359;59239;266;2;0;;;;;;;269;4.104
11;Instance-20-10-20-1_enc1;10;0;47012;211579;247;0.1;47012;211579;247;0.1;0;47012;211579;247;0.09;47012;211579;247;0.09;0;53530;217333;247;0.1;53530;217333;247;0.1;0;78318;15682;247;0;78318;15682;247;0;0;;;;;;;249;0.181
12;Instance-20-10-20-2_enc1;10;0;66171;355911;260;0.17;66171;355911;260;0.17;0;66171;355911;260;0.16;66171;355911;260;0.16;0;84672;365265;260;0.18;84672;365265;260;0.18;0;145095;32198;260;0.753152847;145095;32198;260;1;0;;;;;;;261;0.128
13;Instance-20-10-20-3_enc1;10;0;64638;350667;281;0.34;93156;594612;281;0.48;0;64638;350667;281;0.33;93156;594612;281;0.45;0;82978;358142;281;0.35;133076;601411;281;0.5;0;138382;29568;281;1;243431;53284;281;2;0;;;;;;;285;13.397
