instances;name;agentes;status_1;vars_makespan_1;clauses_makespan_1;cost_makespan_1;time_makespan_1;vars_soc_1;clauses_soc_1;cost_soc_1;time_soc_1;status_2;vars_makespan_2;clauses_makespan_2;cost_makespan_2;time_makespan_2;vars_soc_2;clauses_soc_2;cost_soc_2;time_soc_2;status_3;vars_makespan_3;clauses_makespan_3;cost_makespan_3;time_makespan_3;vars_soc_3;clauses_soc_3;cost_soc_3;time_soc_3;status_4;vars_makespan_4;clauses_makespan_4;cost_makespan_4;time_makespan_4;vars_soc_4;clauses_soc_4;cost_soc_4;time_soc_4;status_5;vars_makespan_5;clauses_makespan_5;cost_makespan_5;time_makespan_5;vars_soc_5;clauses_soc_5;cost_soc_5;time_soc_5
0;9x21_left2_right2-10-0;10;0;13008;45563;239;0.1;27621;142029;239;0.16;0;13008;45563;239;0.14;27621;142029;239;0.18;0;14423;47344;239;0.08;37681;146272;239;0.15;0;21113;3144;239;0.118201971;74674;17932;239;0.663554907;0;;;;;;;245;6.683
1;9x21_left2_right2-10-1;10;0;12319;42537;233;0.07;28402;148886;233;0.13;0;12319;42537;233;0.07;28402;148886;233;0.14;0;13813;44050;233;0.08;39211;152697;233;0.14;0;18560;3212;233;0.088964701;77573;18887;233;0.683370829;0;;;;;;;245;55.929
2;9x21_left2_right2-10-2;10;0;11273;37190;231;0.08;35770;202532;231;0.15;0;11273;37190;231;0.08;35770;202532;231;0.17;0;12336;38330;231;0.08;51647;205614;231;0.15;0;15205;2524;231;0;104347;25642;231;1.969839573;0;;;;;;;243;86.455
3;9x21_left2_right2-10-3;10;0;12321;42551;236;0.09;24729;124208;236;0.15;0;12321;42551;236;0.09;24729;124208;236;0.14;0;13896;43985;236;0.08;33344;127309;236;0.16;0;18375;3223;236;0.122203112;63645;15262;236;0.53560853;0;;;;;;;252;146.552
4;9x21_left2_right2-10-4;10;0;12086;41064;232;0.06;28067;146452;232;0.14;0;12086;41064;232;0.06;28067;146452;232;0.11;0;13346;42481;232;0.07;38605;150193;232;0.13;0;17744;2878;232;0;76183;18372;232;0;0;;;;;;;238;5.671
5;9x21_left2_right2-10-5;10;0;12459;43394;236;0.12;34118;190210;233;0.25;0;12459;43394;236;0.13;34118;190210;233;0.23;0;14039;45053;236;0.13;48878;193787;233;0.23;0;19297;3294;236;0;98619;24291;233;1;0;;;;;;;240;13.206
6;9x21_left2_right2-10-6;10;0;10180;31299;224;0.06;33767;187401;221;0.17;0;10180;31299;224;0.06;33767;187401;221;0.17;0;10833;32178;224;0.07;48210;191051;221;0.2;0;11738;1591;224;0.054867268;97157;23840;221;1.189922333;0;;;;;;;232;27.727
7;9x21_left2_right2-10-7;10;0;12011;40497;230;0.05;22395;106251;230;0.07;0;12011;40497;230;0.08;22395;106251;230;0.1;0;13113;41886;230;0.05;29233;110260;230;0.07;0;17592;2811;230;0.091555595;55820;12900;230;0.376713514;0;;;;;;;236;1.928
8;9x21_left2_right2-10-8;10;0;11537;37329;235;0.05;20177;90848;235;0.07;0;11537;37329;235;0.06;20177;90848;235;0.08;0;12406;38461;235;0.04;25568;94566;235;0.06;0;15348;2138;235;0.062210798;47160;11050;235;0.343931913;0;;;;;;;247;20.635
9;9x21_left2_right2-10-9;10;0;11757;38775;237;0.09;22308;105230;237;0.17;0;11757;38775;237;0.11;22308;105230;237;0.17;0;12814;40024;237;0.06;28875;108752;237;0.12;0;16389;2139;237;0.185063124;54880;12973;237;1.232997656;0;;;;;;;248;25.624
10;9x21_left2_right2-12-0;12;0;14739;58494;286;0.32;51212;334481;286;1.12;0;14739;58494;286;0.25;51212;334481;286;1.56;0;17660;60568;286;0.25;82573;336378;286;1.38;0;28298;5542;286;1.302601099;169301;39368;286;12.98755002;0;;;;;;;298;195.59
11;9x21_left2_right2-12-1;12;0;14417;55187;286;0.35;50627;327957;286;1.06;0;14417;55187;286;0.33;50627;327957;286;1.12;0;16895;57473;286;0.36;81199;330461;286;0.9;0;27340;4975;286;0.407697201;166737;38788;286;5.474248171;3;;;;;;;-1;618.633
12;9x21_left2_right2-12-2;12;0;11660;39268;275;0.09;25107;130472;275;0.2;0;11660;39268;275;0.06;25107;130472;275;0.16;0;12867;40797;275;0.09;34865;134054;275;0.18;0;17800;2550;275;0.103302002;67905;15613;275;0.748037815;0;;;;;;;292;217.844
13;9x21_left2_right2-12-3;12;0;13178;48589;280;0.14;39457;239900;280;0.67;0;13178;48589;280;0.13;39457;239900;280;0.89;0;15149;50428;280;0.19;60641;243886;280;0.8;0;23305;3697;280;0.589411497;124067;29007;280;5.196245909;0;;;;;;;296;417.42
14;9x21_left2_right2-12-4;12;0;16702;69942;279;0.15;44949;281503;279;0.48;0;16702;69942;279;0.15;44949;281503;279;0.33;0;20497;72804;279;0.19;70274;284351;279;0.48;0;35702;8046;279;0.44634366;143982;34061;279;3.90789485;0;;;;;;;292;238.924
15;9x21_left2_right2-12-5;12;0;12797;45781;283;0.1;34953;204556;283;0.23;0;12797;45781;283;0.09;34953;204556;283;0.21;0;14575;47510;283;0.1;52283;208044;283;0.23;0;21098;3774;283;0.162438393;105407;24825;283;1.245321274;3;;;;;;;-1;703.846
16;9x21_left2_right2-12-6;12;0;14377;55161;286;0.18;38810;234188;286;0.35;0;14377;55161;286;0.17;38810;234188;286;0.32;0;16868;57169;286;0.14;59265;237851;286;0.35;0;26630;5320;286;0.246313095;120671;28363;286;2.184210777;0;;;;;;;300;281.073
17;9x21_left2_right2-12-7;12;0;14092;54651;266;0.16;43885;275129;266;0.42;0;14092;54651;266;0.13;43885;275129;266;0.43;0;16575;56650;266;0.26;68697;278144;266;0.5;0;26578;5691;266;0.425495863;140844;33189;266;3.377509832;0;;;;;;;283;302.703
18;9x21_left2_right2-12-8;12;0;11829;40837;279;0.19;57352;385723;278;1.06;0;11829;40837;279;0.21;57352;385723;278;1.67;0;13291;42187;279;0.23;94372;386222;278;1.14;0;17820;3116;279;0.148169279;193693;44529;278;4.228914976;3;;;;;;;-1;634.198
19;9x21_left2_right2-12-9;12;0;12822;45922;286;0.14;39014;235764;286;0.55;0;12822;45922;286;0.17;39014;235764;286;1.1;0;14597;47750;286;0.16;59657;239383;286;0.74;0;21473;3692;286;0.325698137;121543;28724;286;4.244400024;0;;;;;;;302;364.104
20;9x21_left2_right2-14-0;14;0;15609;63954;333;0.51;74275;545092;333;6.21;0;15609;63954;333;0.46;74275;545092;333;32.55;0;19112;66574;333;0.57;131636;543597;333;7.89;0;32540;6761;333;2.521889448;270700;59227;333;109;3;;;;;;;-1;625.989
21;9x21_left2_right2-14-1;14;0;14564;56717;343;0.09;33031;195395;343;0.16;0;14564;56717;343;0.12;33031;195395;343;0.18;0;17458;58913;343;0.09;50253;199077;343;0.18;0;27924;5052;343;0.239425421;100978;22715;343;1.148082018;3;;;;;;;-1;642.816
22;9x21_left2_right2-14-2;14;0;15772;65134;327;0.11;33832;202299;327;0.18;0;15772;65134;327;0.12;33832;202299;327;0.2;0;19318;67646;327;0.12;51797;205920;327;0.22;0;33197;6946;327;0.390653133;104521;23795;327;1.155927181;3;;;;;;;-1;711.32
23;9x21_left2_right2-14-3;14;0;14423;57620;321;0.27;58223;407874;321;1.26;0;14423;57620;321;0.28;58223;407874;321;2.89;0;17382;59624;321;0.36;99826;409629;321;1.59;0;28546;5350;321;1.12754631;205010;45310;321;36.7942071;3;;;;;;;-1;789.564
24;9x21_left2_right2-14-4;14;0;14972;59757;344;0.61;50852;342489;342;2.65;0;14972;59757;344;0.74;50852;342489;342;7.41;0;18053;61945;344;0.9;84785;345723;342;2.98;0;29676;5717;344;4.525353909;173824;39099;342;44.53052115;3;;;;;;;-1;800.427
25;9x21_left2_right2-14-5;14;0;12092;42589;330;0.14;58092;406605;328;0.87;0;12092;42589;330;0.15;58092;406605;328;2.25;0;13629;43960;330;0.12;99596;408642;328;0.86;0;19507;3255;330;0;204517;45433;328;13.4877069;3;;;;;;;-1;716.958
26;9x21_left2_right2-14-6;14;0;15865;65520;330;0.32;64159;458373;330;1.7;0;15865;65520;330;0.41;64159;458373;330;5.25;0;19436;68196;330;0.4;111517;458825;330;1.99;0;33682;7165;330;1.343105316;229162;50541;330;18.25771117;3;;;;;;;-1;656.251
27;9x21_left2_right2-14-7;14;0;13386;49510;332;0.1;42155;269409;332;0.24;0;13386;49510;332;0.15;42155;269409;332;0.31;0;15545;51453;332;0.13;67643;273206;332;0.32;0;24024;4341;332;0.65694499;138173;31396;332;8.004628658;3;;;;;;;-1;683.969
